respondent_id,group,title,form,sensor,metric,raw_stimulus,raw_samples,bin_width,smoothing_label,max_time_seconds,bins_total,bins_passing,bins_failing,mean_coverage
104,A,A Star Is Born,Short,EEG_PSD,EEG_PSD_ElectrodeClusterAverageDeltadB,A STAR IS BORN,498,0.5,,248.663,498,498,0,1.0
104,A,A Star Is Born,Short,EEG_PSD,EEG_PSD_ElectrodeClusterAverageThetadB,A STAR IS BORN,498,0.5,,248.663,498,498,0,1.0
104,A,A Star Is Born,Short,EEG_PSD,EEG_PSD_ElectrodeClusterAverageAlphadB,A STAR IS BORN,498,0.5,,248.663,498,498,0,1.0
104,A,A Star Is Born,Short,EEG_PSD,EEG_PSD_ElectrodeClusterAverageBetadB,A STAR IS BORN,498,0.5,,248.663,498,498,0,1.0
104,A,A Star Is Born,Short,EEG_PSD,EEG_PSD_ElectrodeClusterAverageGammadB,A STAR IS BORN,498,0.5,,248.663,498,498,0,1.0
104,A,Titanic,Short,EEG_PSD,EEG_PSD_ElectrodeClusterAverageDeltadB,TITANIC,120,0.5,,59.873,120,120,0,1.0
104,A,Titanic,Short,EEG_PSD,EEG_PSD_ElectrodeClusterAverageThetadB,TITANIC,120,0.5,,59.873,120,120,0,1.0
104,A,Titanic,Short,EEG_PSD,EEG_PSD_ElectrodeClusterAverageAlphadB,TITANIC,120,0.5,,59.873,120,120,0,1.0
104,A,Titanic,Short,EEG_PSD,EEG_PSD_ElectrodeClusterAverageBetadB,TITANIC,120,0.5,,59.873,120,120,0,1.0
104,A,Titanic,Short,EEG_PSD,EEG_PSD_ElectrodeClusterAverageGammadB,TITANIC,120,0.5,,59.873,120,120,0,1.0
104,A,Mad Max,Short,EEG_PSD,EEG_PSD_ElectrodeClusterAverageDeltadB,MAD MAX FURY ROAD,453,0.5,,226.433,453,453,0,1.0
104,A,Mad Max,Short,EEG_PSD,EEG_PSD_ElectrodeClusterAverageThetadB,MAD MAX FURY ROAD,453,0.5,,226.433,453,453,0,1.0
104,A,Mad Max,Short,EEG_PSD,EEG_PSD_ElectrodeClusterAverageAlphadB,MAD MAX FURY ROAD,453,0.5,,226.433,453,453,0,1.0
